#Localisations that are probably not used in-game anymore;;;;;;;;;;;;;;
#Kept as redundancy and in order to find misnamed/-spelled keys;;;;;;;;;;;;;;
#events;;;;;;;;;;;;;;
EVTNAME999000;National Debate: Trade Policy;;;;;;;;;;;;;
EVTDESC999000;The intensive election campaign has reached the boiling point in $COUNTRY$, where a fierce trade policy debate pits the friends of free trade against the pals of protectionism in a rough rumble-and-tumble to determine the future of our nation's traders. Free-traders argue that goods must be allowed to freely cross all borders, while protectionists argue that our nation's fragile industries need protection from dangerous foreign competition threatening to undo them. Which path will $COUNTRY$ tread, as it decides on: Free trade, or Protectionism?;;;;;;;;;;;;;
EVTOPTA999000;Our trade must be protected from destructive foreign competition!;;;;;;;;;;;;;
EVTOPTB999000;Let the debate take its own course, and let the chips fall where they may!;;;;;;;;;;;;;
EVTOPTC999000;Freedom of trade shall not perish from this Earth!;;;;;;;;;;;;;
EVTNAME999001;National Debate: Economic Policy;;;;;;;;;;;;;
EVTDESC999001;The debate had been going on for several hours, when a candidate stepped forward and presented arguments for their cause which silenced all opponents.;;;;;;;;;;;;;
EVTOPTA999001;Decisive arguments for Laissez Faire.;;;;;;;;;;;;;
EVTOPTB999001;Decisive arguments for Interventionism.;;;;;;;;;;;;;
EVTOPTBB999001;Decisive arguments for Statism.;;;;;;;;;;;;;
EVTOPTC999001;Decisive arguments for State Capitalism.;;;;;;;;;;;;;
EVTOPTD999001;Decisive arguments for Planned Economy.;;;;;;;;;;;;;
EVTNAME999002;National Debate: Religious Policy;;;;;;;;;;;;;
EVTDESC999002;'The morality and virtue of our people have started to decline!' This statement caused much stir among the debaters of toleration and religious plurality. They have started to question the country's view on religion.;;;;;;;;;;;;;
EVTOPTA999002;There are no Gods!;;;;;;;;;;;;;
EVTOPTB999002;Religion is not a political issue!;;;;;;;;;;;;;
EVTOPTC999002;Let the people have their faith.;;;;;;;;;;;;;
EVTOPTD999002;There is one faith and one faith only!;;;;;;;;;;;;;
EVTNAME999003;National Debate: Citizenship Policy;;;;;;;;;;;;;
EVTDESC999003;Two debaters are arguing heatedly about their views. The rest of the hall sits dumbfounded when words like aliens, minorities, ethnic and cultural groups are thrown between the two. One wish that immigrants should adapt to the dominant culture while the other believes that they should retain their cultural heritage.;;;;;;;;;;;;;
EVTOPTA999003;Give them residency.;;;;;;;;;;;;;
EVTOPTB999003;We need to limit their citizenship.;;;;;;;;;;;;;
EVTOPTC999003;Let them have full citizenship.;;;;;;;;;;;;;
EVTNAME999004;National Debate: War Policy;;;;;;;;;;;;;
EVTDESC999004;Patriots and pacifists are fighting in the townhouse, using words to hurt and kill their enemies. A long since dead and buried dispute between $COUNTRY$ and its neighbor has once again shown its ugly head. Patriots wish to invade the country while pacifists believe that there are other ways to resolve the dispute.;;;;;;;;;;;;;
EVTOPTA999004;We are patriots and we are going to fight for our country!;;;;;;;;;;;;;
EVTOPTB999004;Violence can be used, but in this situation it would be meaningless.;;;;;;;;;;;;;
EVTOPTC999004;War between countries is never good.;;;;;;;;;;;;;
EVTOPTD999004;This can be solved without violence.;;;;;;;;;;;;;
EVTNAME999020;Calm Elections;;;;;;;;;;;;;
EVTDESC999020;The remaining election campaign of $YEAR$ has been unusually quiet. The political parties have had no pressing issues which have gripped the country's attention,  and the election seems to be passing without any national debates or events.;;;;;;;;;;;;;
EVTOPTA999020;There shall be peace and quite in our time.;;;;;;;;;;;;;
EVTNAME999021;Violent Elections;;;;;;;;;;;;;
EVTDESC999021;The election campaign of $YEAR$ has been unusually violent. Only a few days after the campaign had begun, the first incidents started. Strikes occured in several large factories, with incidents of streetfighting in most major cities. Paramilitary groups have threatened voters of opposing ideologies, while radicals have staged attacks on political enemies. The $COUNTRY_ADJ$ police are tirelessly to get the situation under control, but it looks as if $COUNTRY$ is in for a contentious election.;;;;;;;;;;;;;
EVTOPTA999021;Outrageous!;;;;;;;;;;;;;
EVTOPTA999032;We will have an eye on this.;;;;;;;;;;;;;
EVTOPTC999040;A reform is long past due - issue a new voting right.;;;;;;;;;;;;;
EVTNAME999041;Voting Rights Discussion;;;;;;;;;;;;;
EVTOPTC999041;We shall do this right away!;;;;;;;;;;;;;
EVTNAME999042;Voting Rights Discussion;;;;;;;;;;;;;
EVTOPTC999042;Better now than later.;;;;;;;;;;;;;
EVTNAME999043;Voting Rights Discussion;;;;;;;;;;;;;
EVTOPTC999043;Equal votes for equal chances - NOW!;;;;;;;;;;;;;
EVTNAME999050;Unemployment Issues;;;;;;;;;;;;;
EVTOPTD999049;Do not get involved in the debate.;;;;;;;;;;;;;
EVTNAME10222;The French Revolution of $YEAR$;;;;;;;;;;;;;
EVTDESC10222;Angry crowds have flooded the streets of Paris, shouting cries of 'Down with the King!' and 'Long live the Reform!'. They have erected barricades in the streets and fighting has broken out with the Parisian municipal guards. With the city having been completely closed off from outside help, these crowds have begun to march on the royal palace. Our king has had no choice but to abdicate and flee the country.;;;;;;;;;;;;;
EVTNAME10223;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;;
EVTDESC10223;Facing the prospect of losing the presidential election, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;;
EVTNAME10224;Emperor Napoleon Deposed;;;;;;;;;;;;;
EVTDESC10224;Angered by the inability of France to prevent the formation of Germany, as well as the humiliating loss of Alsace-Lorraine, the government has deposed Emperor Napoleon. We must choose what form our new government is to take.;;;;;;;;;;;;;
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;;
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;;
EVTNAME11108;Slavic Unification;;;;;;;;;;;;;
